PCA,fit,se.fit,lower,upper,contrast,contrast_label,pair
-3.13660674577695,0.5585269934198659,0.16495734501555145,0.23177824045258216,0.8852757463871497,BB,BB,BB vs BM
-3.101564020856795,0.5581461336745973,0.16353746957389087,0.23420988068958315,0.8820823866596115,BB,BB,BB vs BM
-3.06652129593664,0.5577652739293286,0.16212124416928572,0.23663429090565924,0.878896256952998,BB,BB,BB vs BM
-3.031478571016485,0.55738441418406,0.16070876529821668,0.2390512799598542,0.8757175484082659,BB,BB,BB vs BM
-2.9964358460963303,0.5570035544387913,0.1593001326197555,0.24146065044672677,0.872546458430856,BB,BB,BB vs BM
-2.961393121176175,0.5566226946935228,0.15789544907305075,0.24386219846363555,0.86938319092341,BB,BB,BB vs BM
-2.9263503962560202,0.5562418349482541,0.1564948209993011,0.24625571336913205,0.866227956527376,BB,BB,BB vs BM
-2.8913076713358654,0.5558609752029855,0.15509835826835977,0.24864097753218256,0.8630809728737885,BB,BB,BB vs BM
-2.85626494641571,0.5554801154577168,0.15370617441011253,0.25101776607193316,0.8599424648435005,BB,BB,BB vs BM
-2.8212222214955553,0.5550992557124482,0.15231838675077167,0.2533858465877379,0.8568126648371586,BB,BB,BB vs BM
-2.7861794965754,0.5547183959671795,0.1509351165542255,0.25574497887917214,0.8536918130551869,BB,BB,BB vs BM
-2.7511367716552453,0.5543375362219108,0.149556489168581,0.25809491465576045,0.8505801577880612,BB,BB,BB vs BM
-2.7160940467350905,0.5539566764766423,0.1481826341780318,0.260435397236155,0.8474779557171295,BB,BB,BB vs BM
-2.681051321814935,0.5535758167313736,0.14681368556017918,0.26276616123651253,0.8443854722262346,BB,BB,BB vs BM
-2.6460085968947804,0.553194956986105,0.14544978184892615,0.26508693224783353,0.8413029817243765,BB,BB,BB vs BM
-2.610965871974625,0.5528140972408363,0.14409106630305538,0.2673974265020408,0.8382307679796318,BB,BB,BB vs BM
-2.5759231470544703,0.5524332374955677,0.14273768708059223,0.26969735052660054,0.835169124464535,BB,BB,BB vs BM
-2.5408804221343155,0.552052377750299,0.14138979741903904,0.2719864007875124,0.8321183547130857,BB,BB,BB vs BM
-2.5058376972141607,0.5516715180050304,0.14004755582155295,0.27426426332052767,0.8290787726895332,BB,BB,BB vs BM
-2.4707949722940055,0.5512906582597618,0.13871112624912013,0.2765306133504882,0.8260507031690354,BB,BB,BB vs BM
-2.4357522473738507,0.5509097985144932,0.13738067831875764,0.2787851148987277,0.8230344821302586,BB,BB,BB vs BM
-2.4007095224536954,0.5505289387692245,0.13605638750774932,0.2810274203785189,0.8200304571599301,BB,BB,BB vs BM
-2.3656667975335406,0.5501480790239558,0.13473843536389304,0.2832571701786148,0.8170389878692967,BB,BB,BB vs BM
-2.3306240726133858,0.5497672192786872,0.1334270097217029,0.2854739922349935,0.814060446322381,BB,BB,BB vs BM
-2.295581347693231,0.5493863595334185,0.1321223049244717,0.2876775015909948,0.8110952174758422,BB,BB,BB vs BM
-2.2605386227730757,0.5490054997881499,0.13082452205205647,0.2898672999461218,0.8081436996301781,BB,BB,BB vs BM
-2.225495897852921,0.5486246400428813,0.12953386915419923,0.29204297519387634,0.8052063048918862,BB,BB,BB vs BM
-2.1904531729327656,0.5482437802976127,0.12825056148913996,0.2942041009491136,0.8022834596461117,BB,BB,BB vs BM
-2.155410448012611,0.547862920552344,0.1269748217672165,0.2963502360655167,0.7993756050391713,BB,BB,BB vs BM
-2.120367723092456,0.5474820608070754,0.12570688039907518,0.29848092414394006,0.7964831974702107,BB,BB,BB vs BM
-2.0853249981723008,0.5471012010618067,0.12444697574803754,0.30059569303251865,0.7936067090910948,BB,BB,BB vs BM
-2.050282273252146,0.5467203413165381,0.12319535438608131,0.3026940543196197,0.7907466283134565,BB,BB,BB vs BM
-2.0152395483319907,0.5463394815712694,0.12195227135279581,0.30477550282090127,0.7879034603216376,BB,BB,BB vs BM
-1.980196823411836,0.5459586218260007,0.12071799041656546,0.3068395160619584,0.7850777275900431,BB,BB,BB vs BM
-1.945154098491681,0.5455777620807322,0.1194927843371151,0.3088855537582714,0.7822699704031929,BB,BB,BB vs BM
-1.910111373571526,0.5451969023354635,0.11827693512842169,0.31091305729442786,0.7794807473764991,BB,BB,BB vs BM
-1.875068648651371,0.5448160425901949,0.11707073432085284,0.3129214492048773,0.7767106359755125,BB,BB,BB vs BM
-1.840025923731216,0.5444351828449262,0.11587448322123732,0.3149101326587809,0.7739602330310715,BB,BB,BB vs BM
-1.8049831988110612,0.5440543230996576,0.1146884931694029,0.31687849095186016,0.7712301552474551,BB,BB,BB vs BM
-1.7699404738909061,0.5436734633543889,0.11351308578953266,0.3188258870085076,0.7685210397002702,BB,BB,BB vs BM
-1.734897748970751,0.5432926036091204,0.11234859323449356,0.32075166289781987,0.7658335443204208,BB,BB,BB vs BM
-1.6998550240505963,0.5429117438638517,0.1111953584210773,0.32265513936762963,0.7631683483600737,BB,BB,BB vs BM
-1.6648122991304413,0.5425308841185831,0.11005373525386708,0.32453561540107,0.7605261528360961,BB,BB,BB vs BM
-1.6297695742102862,0.5421500243733144,0.10892408883520187,0.3263923678006744,0.7579076809459544,BB,BB,BB vs BM
-1.5947268492901312,0.5417691646280457,0.10780679565845509,0.32822465080552965,0.7553136784505617,BB,BB,BB vs BM
-1.5596841243699764,0.5413883048827771,0.10670224378157707,0.33003169574752156,0.7527449140180327,BB,BB,BB vs BM
-1.5246413994498214,0.5410074451375084,0.10561083297757184,0.3318127107532687,0.7502021795217482,BB,BB,BB vs BM
-1.4895986745296663,0.5406265853922398,0.10453297485829204,0.3335668804989096,0.7476862902855701,BB,BB,BB vs BM
-1.4545559496095115,0.5402457256469712,0.1034690929676409,0.3352933660254866,0.7451980852684557,BB,BB,BB vs BM
-1.4195132246893565,0.5398648659017026,0.10241962283997424,0.3369913046232634,0.7427384271801418,BB,BB,BB vs BM
-1.3844704997692014,0.5394840061564339,0.10138501201919889,0.3386598097938942,0.7403082025189736,BB,BB,BB vs BM
-1.3494277748490464,0.5391031464111653,0.10036572003377396,0.3402979712999421,0.7379083215223885,BB,BB,BB vs BM
-1.3143850499288916,0.5387222866658966,0.09936221832254426,0.34190485531178794,0.7355397180200053,BB,BB,BB vs BM
-1.2793423250087366,0.538341426920628,0.09837499010607456,0.34347950466249305,0.7332033491787631,BB,BB,BB vs BM
-1.2442996000885815,0.5379605671753593,0.09740453019792174,0.34502093922163246,0.7309001951290862,BB,BB,BB vs BM
-1.2092568751684265,0.5375797074300906,0.09645134475008471,0.34652815639950985,0.7286312584606714,BB,BB,BB vs BM
-1.1742141502482717,0.5371988476848221,0.09551595092672116,0.34800013179346184,0.7263975635761823,BB,BB,BB vs BM
-1.1391714253281167,0.5368179879395534,0.09459887650012645,0.3494358199881455,0.7242001558909612,BB,BB,BB vs BM
-1.1041287004079616,0.5364371281942848,0.09370065936294586,0.350834155521753,0.7220401008668166,BB,BB,BB vs BM
-1.0690859754878068,0.5360562684490161,0.09282184695064903,0.3521940540299776,0.7199184828680546,BB,BB,BB vs BM
-1.0340432505676516,0.5356754087037475,0.09196299556845065,0.35351441357925506,0.71783640382824,BB,BB,BB vs BM
-0.9990005256474968,0.5352945489584788,0.09112466961712565,0.354794116200274,0.7157949817166837,BB,BB,BB vs BM
-0.9639578007273419,0.5349136892132103,0.09030744071255699,0.35603202963198316,0.7137953487944373,BB,BB,BB vs BM
-0.9289150758071867,0.5345328294679416,0.08951188669438237,0.3572270092852703,0.7118386496506128,BB,BB,BB vs BM
-0.8938723508870319,0.534151969722673,0.08873859051978551,0.35837790043414997,0.709926039011196,BB,BB,BB vs BM
-0.8588296259668771,0.5337711099774043,0.08798813903931967,0.3594835406406206,0.708058679314188,BB,BB,BB vs BM
-0.8237869010467218,0.5333902502321356,0.0872611216526661,0.36054276241734895,0.7062377380469222,BB,BB,BB vs BM
-0.788744176126567,0.533009390486867,0.08655812884342176,0.36155439612997337,0.7044643848437606,BB,BB,BB vs BM
-0.7537014512064122,0.5326285307415983,0.08587975059338306,0.3625172731381022,0.7027397883450944,BB,BB,BB vs BM
-0.7186587262862569,0.5322476709963297,0.0852265746783432,0.36343022917101203,0.7010651128216474,BB,BB,BB vs BM
-0.6836160013661021,0.5318668112510611,0.08459918484914031,0.3642921079306404,0.6994415145714817,BB,BB,BB vs BM
-0.6485732764459469,0.5314859515057925,0.08399815890356808,0.3651017649107603,0.6978701381008247,BB,BB,BB vs BM
-0.6135305515257921,0.5311050917605238,0.08342406665677118,0.36585807141723625,0.6963521121038113,BB,BB,BB vs BM
-0.5784878266056372,0.5307242320152552,0.08287746781986037,0.3665599187700792,0.6948885452604312,BB,BB,BB vs BM
-0.543445101685482,0.5303433722699865,0.08235890979866627,0.36720622266369174,0.6934805218762813,BB,BB,BB vs BM
-0.5084023767653272,0.5299625125247179,0.0818689254267574,0.3677959276573233,0.6921290973921126,BB,BB,BB vs BM
-0.47335965184517237,0.5295816527794492,0.08140803064902961,0.3683280117634332,0.6908352937954653,BB,BB,BB vs BM
-0.4383169269250171,0.52920079303418055,0.0809767221742705,0.36880149109750937,0.6896000949708517,BB,BB,BB vs BM
-0.4032742020048623,0.528819933288912,0.08057547511705344,0.3692154245490221,0.6884244420288018,BB,BB,BB vs BM
-0.3682314770847075,0.5284390735436433,0.08020474065105548,0.36956891842974926,0.6873092286575373,BB,BB,BB vs BM
-0.33318875216455224,0.5280582137983747,0.07986494369735389,0.3698611310528169,0.6862552965439325,BB,BB,BB vs BM
-0.2981460272443974,0.527677354053106,0.07955648067237645,0.3700912771935753,0.6852634309126366,BB,BB,BB vs BM
-0.2631033023242426,0.5272964943078374,0.07927971732089596,0.3702586323820205,0.6843343562336544,BB,BB,BB vs BM
-0.22806057740408736,0.5269156345625687,0.07903498665972176,0.370362536975945,0.6834687321491925,BB,BB,BB vs BM
-0.19301785248393255,0.5265347748173002,0.07882258705750458,0.37040239996447566,0.6826671496701247,BB,BB,BB vs BM
-0.1579751275637773,0.5261539150720315,0.078642780475309,0.37037770245316015,0.6819301276909028,BB,BB,BB vs BM
-0.12293240264362248,0.5257730553267629,0.07849579089130614,0.3702880007843481,0.6812581098691777,BB,BB,BB vs BM
-0.08788967772346767,0.5253921955814942,0.07838180293110093,0.370132929250249,0.6806514619127394,BB,BB,BB vs BM
-0.05284695280331242,0.5250113358362255,0.0783009607228576,0.36991220236070815,0.6801104693117428,BB,BB,BB vs BM
-0.01780422788315761,0.5246304760909569,0.07825336699356325,0.36962561663333504,0.6796353355485788,BB,BB,BB vs BM
0.017238497036997202,0.5242496163456882,0.0782390824195323,0.36927305188002835,0.6792261808113481,BB,BB,BB vs BM
0.05228122195715246,0.5238687566004196,0.07825812524067839,0.3688544719710297,0.6788830412298096,BB,BB,BB vs BM
0.08732394687730727,0.523487896855151,0.07831047114425568,0.3683699250652092,0.6786058686450926,BB,BB,BB vs BM
0.12236667179746208,0.5231070371098824,0.07839605341979382,0.36781954330316985,0.6783945309165949,BB,BB,BB vs BM
0.15740939671761733,0.5227261773646137,0.07851476338292877,0.3672035419677193,0.6782488127615081,BB,BB,BB vs BM
0.19245212163777214,0.5223453176193451,0.0786664510618706,0.3665222181241102,0.6781684171145801,BB,BB,BB vs BM
0.22749484655792696,0.5219644578740764,0.07885092613645281,0.36577594875996333,0.6781529669881895,BB,BB,BB vs BM
0.2625375714780822,0.5215835981288078,0.07906795911617584,0.36496518845179116,0.6782020078058245,BB,BB,BB vs BM
0.297580296398237,0.5212027383835391,0.07931728274047489,0.3640904665913355,0.6783150101757428,BB,BB,BB vs BM
0.3326230213183923,0.5208218786382705,0.07959859358168259,0.36315238421040835,0.6784913730661326,BB,BB,BB vs BM
0.3676657462385471,0.5204410188930019,0.07991155382887752,0.36215161044743027,0.6787304273385735,BB,BB,BB vs BM
0.4027084711587019,0.5200601591477332,0.08025579322904709,0.3610888787023606,0.6790314395931057,BB,BB,BB vs BM
0.43775119607885715,0.5196792994024646,0.08063091116076884,0.35996498252913434,0.6793936162757949,BB,BB,BB vs BM
0.47279392099901196,0.5192984396571959,0.08103647881492813,0.35878077131607905,0.6798161079983127,BB,BB,BB vs BM
0.5078366459191668,0.5189175799119273,0.08147204145682774,0.35753714580511264,0.680298014018742,BB,BB,BB vs BM
0.542879370839322,0.5185367201666586,0.08193712074437376,0.3562350534998615,0.6808383868334558,BB,BB,BB vs BM
0.5779220957594768,0.5181558604213901,0.08243121707779993,0.3548754840113106,0.6814362368314695,BB,BB,BB vs BM
0.61296482067963165,0.5177750006761214,0.08295381195756424,0.3534594643872625,0.6820905369649802,BB,BB,BB vs BM
0.6480075455997869,0.5173941409308528,0.08350437032855673,0.35198805446891407,0.6828002273927916,BB,BB,BB vs BM
0.6830502705199417,0.5170132811855841,0.08408234289053099,0.3504623423143356,0.6835642200568326,BB,BB,BB vs BM
0.718092995440097,0.5166324214403154,0.0846871683566476,0.34888343972473146,0.6843814031558993,BB,BB,BB vs BM
0.7531357203602518,0.5162515616950468,0.0853182756441302,0.34725247790517166,0.685250645484922,BB,BB,BB vs BM
0.7881784452804066,0.5158707019497781,0.08597508598322337,0.3455706032871523,0.686170800612404,BB,BB,BB vs BM
0.8232211702005618,0.5154898422045096,0.08665701493284769,0.34383897353597076,0.6871407108730483,BB,BB,BB vs BM
0.8582638951207167,0.5151089824592409,0.08736347429352377,0.34205875376159145,0.6881592111568903,BB,BB,BB vs BM
0.8933066200408719,0.5147281227139723,0.08809387391023765,0.3402311129475166,0.6892251324804279,BB,BB,BB vs BM
0.9283493449610267,0.5143472629687036,0.08884762335991198,0.3383572206082301,0.690337305329177,BB,BB,BB vs BM
0.9633920698811815,0.513966403223435,0.089624133520001,0.3364382436821134,0.6914945627647566,BB,BB,BB vs BM
0.9984347948013363,0.5135855434781663,0.09042281801642447,0.3344753436633663,0.6926957432929663,BB,BB,BB vs BM
1.0334775197214912,0.5132046837328977,0.0912430945505803,0.3324696739734513,0.6939396934923442,BB,BB,BB vs BM
1.0685202446416469,0.512823823987629,0.09208438610652253,0.3304223775699051,0.695225270405353,BB,BB,BB vs BM
1.1035629695618017,0.5124429642423604,0.09294612204055833,0.3283345847880581,0.6965513436966626,BB,BB,BB vs BM
1.1386056944819565,0.5120621044970918,0.09382773905650649,0.3262074114092339,0.6979167975849496,BB,BB,BB vs BM
1.1736484194021113,0.5116812447518231,0.09472868207067826,0.3240419569473889,0.6993205325562573,BB,BB,BB vs BM
1.208691144322266,0.5113003850065545,0.09564840497129931,0.32183930314484416,0.7007614668682649,BB,BB,BB vs BM
1.243733869242421,0.5109195252612858,0.09658637127759782,0.31960051266675804,0.7022385378558136,BB,BB,BB vs BM
1.2787765941625766,0.5105386655160172,0.0975420547041559,0.31732662798325517,0.7037507030487793,BB,BB,BB vs BM
1.3138193190827314,0.5101578057707485,0.09851493963636869,0.315018670427633,0.7052969411138641,BB,BB,BB vs BM
1.3488620440028862,0.50977694602548,0.09950452152299641,0.3126776394187924,0.7068762526321675,BB,BB,BB vs BM
1.383904768923041,0.5093960862802113,0.10051030719183883,0.31030451183594643,0.7084876607244761,BB,BB,BB vs BM
1.4189474938431959,0.5090152265349427,0.101531815094528,0.3079002415337339,0.7101302115361514,BB,BB,BB vs BM
1.4539902187633515,0.508634366789674,0.10256857548633164,0.3054657589860627,0.7118029745932852,BB,BB,BB vs BM
1.4890329436835064,0.5082535070444053,0.10362013054670147,0.3030019710473275,0.7135050430414831,BB,BB,BB vs BM
1.5240756686036612,0.5078726472991367,0.10468603444609915,0.3005097608200399,0.7152355337782336,BB,BB,BB vs BM
1.559118393523816,0.507491787553868,0.10576585336439416,0.2979899876183858,0.7169935874893503,BB,BB,BB vs BM
1.5941611184439708,0.5071109278085995,0.10685916546586663,0.29544348701774037,0.7187783685994585,BB,BB,BB vs BM
1.6292038433641256,0.5067300680633308,0.10796556083556766,0.2928710709807254,0.7205890651459361,BB,BB,BB vs BM
1.6642465682842813,0.5063492083180622,0.10908464138149847,0.2902735280509744,0.72242488858515,BB,BB,BB vs BM
1.6992892932044361,0.5059683485727935,0.11021602070677318,0.28765162360635255,0.7242850735392344,BB,BB,BB vs BM
1.734332018124591,0.5055874888275249,0.11135932395563401,0.2850061001639718,0.726168877491078,BB,BB,BB vs BM
1.7693747430447457,0.5052066290822562,0.11251418763689358,0.28233767772991714,0.7280755804345953,BB,BB,BB vs BM
1.8044174679649005,0.5048257693369876,0.11368025942809337,0.2796470541871715,0.7300044844868038,BB,BB,BB vs BM
1.8394601928850562,0.504444909591719,0.11485719796339015,0.2769349057157712,0.7319549134676667,BB,BB,BB vs BM
1.874502917805211,0.5040640498464503,0.11604467260791614,0.2742018872397557,0.7339262124531448,BB,BB,BB vs BM
1.9095456427253659,0.5036831901011817,0.117242363221106,0.2714486328959713,0.735917747306392,BB,BB,BB vs BM
1.9445883676455207,0.503302330355913,0.11844995991124402,0.2686757565202651,0.7379289041915609,BB,BB,BB vs BM
1.9796310925656755,0.5029214706106444,0.1196671627832596,0.2658838521470547,0.7399590890742341,BB,BB,BB vs BM
2.0146738174858303,0.5025406108653757,0.1208936816815885,0.2630734945186697,0.7420077272120817,BB,BB,BB vs BM
2.049716542405986,0.5021597511201071,0.12212923592972166,0.2602452396012559,0.7440742626389584,BB,BB,BB vs BM
2.084759267326141,0.5017788913748384,0.12337355406788053,0.2573996251043898,0.7461581576452871,BB,BB,BB vs BM
2.1198019922462956,0.5013980316295699,0.1246263735900918,0.25453717100188294,0.7482588922572568,BB,BB,BB vs BM
2.1548447171664504,0.5010171718843012,0.12588744068177843,0.2516583800515634,0.750375963717039,BB,BB,BB vs BM
2.1898874420866052,0.5006363121390326,0.1271565099588444,0.24876373831209925,0.7525088859659659,BB,BB,BB vs BM
2.22493016700676,0.5002554523937639,0.12843334420910082,0.24585371565518288,0.7546571891323449,BB,BB,BB vs BM
2.2599728919269158,0.49987459264849526,0.1297177141367644,0.24292876627163118,0.7568204190253593,BB,BB,BB vs BM
2.2950156168470706,0.49949373290322663,0.13100939811065285,0.2399893291701612,0.7589981366362921,BB,BB,BB vs BM
