PCA,fit,se.fit,lower,upper,contrast,contrast_label,pair
-3.13660674577695,-0.1194886576161785,0.16737820389575025,-0.45103266610930837,0.21205535087695138,MB,MB,MB vs MM
-3.101564020856795,-0.11987109529113246,0.16593749083651407,-0.4485613284919604,0.2088191379096955,MB,MB,MB vs MM
-3.06652129593664,-0.12025353296608644,0.1645004813810576,-0.4460973270009086,0.20559026106873574,MB,MB,MB vs MM
-3.031478571016485,-0.12063597064104042,0.16306727344201163,-0.4436408555822303,0.20236891430014947,MB,MB,MB vs MM
-2.9964358460963303,-0.12101840831599439,0.1616379681410112,-0.4411921145384228,0.19915529790643402,MB,MB,MB vs MM
-2.961393121176175,-0.12140084599094837,0.1602126699279053,-0.4387513107645347,0.195949618782638,MB,MB,MB vs MM
-2.9263503962560202,-0.12178328366590235,0.15879148670452062,-0.436318657993318,0.19275209066151328,MB,MB,MB vs MM
-2.8913076713358654,-0.12216572134085632,0.1573745299531236,-0.4338943770496866,0.18956293436797397,MB,MB,MB vs MM
-2.85626494641571,-0.1225481590158103,0.15596191486972666,-0.4314786961147708,0.18638237808315022,MB,MB,MB vs MM
-2.8212222214955553,-0.12293059669076427,0.15455376050238243,-0.42907185099985096,0.1832106576183224,MB,MB,MB vs MM
-2.7861794965754,-0.12331303436571825,0.15315018989460746,-0.4266740854304525,0.18004801669901596,MB,MB,MB vs MM
-2.7511367716552453,-0.12369547204067222,0.15175133023407572,-0.4242856513408791,0.17689470725953466,MB,MB,MB vs MM
-2.7160940467350905,-0.1240779097156262,0.15035731300671518,-0.42190680917944856,0.17375098974819614,MB,MB,MB vs MM
-2.681051321814935,-0.12446034739058018,0.1489682741563376,-0.4195378282246883,0.17061713344352794,MB,MB,MB vs MM
-2.6460085968947804,-0.12484278506553415,0.14758435424992322,-0.41717898691273286,0.16749341678166457,MB,MB,MB vs MM
-2.610965871974625,-0.12522522274048814,0.14620569864867283,-0.41483057317614497,0.1643801276951687,MB,MB,MB vs MM
-2.5759231470544703,-0.1256076604154421,0.14483245768492944,-0.4124928847943632,0.161277563963479,MB,MB,MB vs MM
-2.5408804221343155,-0.12599009809039607,0.14346478684505776,-0.4101662297559514,0.15818603357515926,MB,MB,MB vs MM
-2.5058376972141607,-0.12637253576535007,0.1421028469583543,-0.407850926632793,0.15510585510209285,MB,MB,MB vs MM
-2.4707949722940055,-0.12675497344030404,0.14074680439204187,-0.4055473049663374,0.15203735808572935,MB,MB,MB vs MM
-2.4357522473738507,-0.127137411115258,0.13939683125238023,-0.40325570566596186,0.14898088343544585,MB,MB,MB vs MM
-2.4007095224536954,-0.127519848790212,0.1380531055918992,-0.40097648141946024,0.14593678383903624,MB,MB,MB vs MM
