"","code","game_type","rival","pay_competitive","n"
"128","sujeto_0016883","competitive","3","1",8
"129","sujeto_0016883","competitive","3","2",8
"130","sujeto_0016883","competitive","3","3",8
"131","sujeto_0016883","competitive","3","4",8
"132","sujeto_0016883","competitive","4","1",8
"133","sujeto_0016883","competitive","4","2",8
"134","sujeto_0016883","competitive","4","3",8
"135","sujeto_0016883","competitive","4","4",8
"136","sujeto_0016883","individual","1","1",3
"137","sujeto_0016883","individual","2","1",1
"138","sujeto_0020285","competitive","1","1",5
"139","sujeto_0020285","competitive","1","2",7
"140","sujeto_0020285","competitive","1","3",8
"141","sujeto_0020285","competitive","1","4",8
"142","sujeto_0020285","competitive","2","1",2
"143","sujeto_0020285","competitive","2","2",6
"144","sujeto_0020285","competitive","2","3",8
"145","sujeto_0020285","competitive","2","4",8
"146","sujeto_0020285","competitive","3","1",1
"147","sujeto_0020285","competitive","3","2",4
"148","sujeto_0020285","competitive","3","3",6
"149","sujeto_0020285","competitive","3","4",7
"150","sujeto_0020285","competitive","4","1",1
"151","sujeto_0020285","competitive","4","2",1
"152","sujeto_0020285","competitive","4","3",6
"153","sujeto_0020285","competitive","4","4",8
"154","sujeto_0020285","individual","1","1",3
"155","sujeto_0020285","individual","1","2",1
"156","sujeto_0020285","individual","2","1",6
"157","sujeto_0020285","individual","2","2",2
"158","sujeto_0020285","individual","3","1",7
"159","sujeto_0020285","individual","3","2",3
"160","sujeto_0020285","individual","3","3",2
"161","sujeto_0020285","individual","3","4",1
"162","sujeto_0020285","individual","4","1",7
"163","sujeto_0020285","individual","4","2",7
"164","sujeto_0020285","individual","4","3",2
"165","sujeto_0020703","competitive","1","1",2
"166","sujeto_0020703","competitive","1","2",8
"167","sujeto_0020703","competitive","1","3",8
"168","sujeto_0020703","competitive","1","4",8
"169","sujeto_0020703","competitive","2","1",2
"170","sujeto_0020703","competitive","2","2",8
"171","sujeto_0020703","competitive","2","3",8
"172","sujeto_0020703","competitive","2","4",8
"173","sujeto_0020703","competitive","3","1",4
"174","sujeto_0020703","competitive","3","2",7
"175","sujeto_0020703","competitive","3","3",8
"176","sujeto_0020703","competitive","3","4",8
"177","sujeto_0020703","competitive","4","1",2
"178","sujeto_0020703","competitive","4","2",8
"179","sujeto_0020703","competitive","4","3",8
"180","sujeto_0020703","competitive","4","4",8
"181","sujeto_0020703","individual","1","1",6
"182","sujeto_0020703","individual","2","1",6
"183","sujeto_0020703","individual","3","1",4
"184","sujeto_0020703","individual","3","2",1
"185","sujeto_0020703","individual","4","1",6
"186","sujeto_0020974","competitive","1","1",8
"187","sujeto_0020974","competitive","1","2",8
"188","sujeto_0020974","competitive","1","3",8
"189","sujeto_0020974","competitive","1","4",8
"190","sujeto_0020974","competitive","2","1",8
"191","sujeto_0020974","competitive","2","2",8
"192","sujeto_0020974","competitive","2","3",8
"193","sujeto_0020974","competitive","2","4",8
"194","sujeto_0020974","competitive","3","1",8
"195","sujeto_0020974","competitive","3","2",8
"196","sujeto_0020974","competitive","3","3",8
"197","sujeto_0020974","competitive","3","4",8
"198","sujeto_0020974","competitive","4","1",8
"199","sujeto_0020974","competitive","4","2",7
"200","sujeto_0020974","competitive","4","3",8
"201","sujeto_0020974","competitive","4","4",8
"202","sujeto_0020974","individual","4","2",1
"203","sujeto_0025043","competitive","1","1",8
"204","sujeto_0025043","competitive","1","2",7
"205","sujeto_0025043","competitive","1","3",8
"206","sujeto_0025043","competitive","1","4",8
"207","sujeto_0025043","competitive","2","1",6
"208","sujeto_0025043","competitive","2","2",8
"209","sujeto_0025043","competitive","2","3",8
"210","sujeto_0025043","competitive","2","4",7
"211","sujeto_0025043","competitive","3","1",2
"212","sujeto_0025043","competitive","3","2",1
"213","sujeto_0025043","competitive","3","3",5
"214","sujeto_0025043","competitive","3","4",8
"215","sujeto_0025043","competitive","4","1",1
"216","sujeto_0025043","competitive","4","3",2
"217","sujeto_0025043","competitive","4","4",7
"218","sujeto_0025043","individual","1","2",1
"219","sujeto_0025043","individual","2","1",2
"220","sujeto_0025043","individual","2","4",1
"221","sujeto_0025043","individual","3","1",6
"222","sujeto_0025043","individual","3","2",7
"223","sujeto_0025043","individual","3","3",3
"224","sujeto_0025043","individual","4","1",7
"225","sujeto_0025043","individual","4","2",8
"226","sujeto_0025043","individual","4","3",6
"227","sujeto_0025043","individual","4","4",1
"228","sujeto_0025948","competitive","1","1",4
"229","sujeto_0025948","competitive","1","2",5
"230","sujeto_0025948","competitive","1","3",8
"231","sujeto_0025948","competitive","1","4",7
"232","sujeto_0025948","competitive","2","1",3
"233","sujeto_0025948","competitive","2","2",5
"234","sujeto_0025948","competitive","2","3",6
"235","sujeto_0025948","competitive","2","4",6
"236","sujeto_0025948","competitive","3","1",2
"237","sujeto_0025948","competitive","3","2",3
"238","sujeto_0025948","competitive","3","3",4
"239","sujeto_0025948","competitive","3","4",6
"240","sujeto_0025948","competitive","4","1",1
"241","sujeto_0025948","competitive","4","2",3
"242","sujeto_0025948","competitive","4","3",1
"243","sujeto_0025948","competitive","4","4",3
"244","sujeto_0025948","individual","1","1",4
"245","sujeto_0025948","individual","1","2",3
"246","sujeto_0025948","individual","1","4",1
"247","sujeto_0025948","individual","2","1",5
"248","sujeto_0025948","individual","2","2",3
"249","sujeto_0025948","individual","2","3",2
"250","sujeto_0025948","individual","2","4",2
"251","sujeto_0025948","individual","3","1",6
"252","sujeto_0025948","individual","3","2",5
"253","sujeto_0025948","individual","3","3",4
"254","sujeto_0025948","individual","3","4",2
"255","sujeto_0025948","individual","4","1",7
"256","sujeto_0025948","individual","4","2",5
"257","sujeto_0025948","individual","4","3",7
