"codigo","Espectativa_propia","Espectativa_otros","Felicidad_1estrella","Felicidad_2estrellas ","Felicidad_3estrellas ","Felicidad_4estrellas ","Alivio_1estrella","Alivio_2estrellas","Alivio_3estrellas","Alivio_4estrellas","Vergüenza_1estrella","Vergüenza_2estrellas","Vergüenza_3estrellas","Vergüenza_4estrellas","Nerviosismo_1estrella","Nerviosismo_2estrellas","Nerviosismo_3estrellas","Nerviosismo_4estrellas","Tristeza_1estrella","Tristeza_2estrellas","Tristeza_3estrellas","Tristeza_4estrellas","Felicidad_bb","Felicidad_bm","Felicidad_mb","Felicidad_mm","Culpa_bb","Culpa_bm","Culpa_mb","Culpa_mm","Decepcion_bb","Decepcion_bm","Decepcion_mb","Decepcion_mm","Enojo_bb","Enojo_bm","Enojo_mb","Enojo_mm","Tristeza_bb","Tristeza_bm","Tristeza_mb","Tristeza_mm","Alivio_bb","Alivio_bm","Alivio_mb","Alivio_mm","Vergüenza_bb","Vergüenza_bm","Vergüenza_mb","Vergüenza_mm","Nerviosismo_bb","Nerviosismo_bm","Nerviosismo_mb","Nerviosismo_mm","Feliz","Enojada","Nerviosa","Triste","Culpable","Avergonzada","Decepcionada","Aliviada","Rendimiento_pos_propio","Rendimiento_pos_otros"
"sujeto_4517150c",4,6,4,4,5,5,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,4,5,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,4,5
"sujeto_d056f0c3",4,6,7,7,6,7,8,8,6,6,0,0,2,2,2,3,5,5,0,0,0,0,6,8,2,2,0,0,3,2,0,0,4,2,0,0,0,0,0,0,1,1,8,8,2,5,0,0,3,0,1,1,6,3,5,0,4,0,1,3,0,2,4,6
"sujeto_80f4d7da",4,5,0,0,0,0,4,3,3,2,3,4,5,6,5,5,6,6,2,2,4,4,6,5,1,2,0,0,8,8,1,1,8,8,1,1,8,7,0,0,5,4,7,7,0,4,0,0,7,6,4,4,5,5,0,3,7,1,1,6,5,0,0,6
"sujeto_9d0bd287",5,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,5
"sujeto_2cd1c0e6",5,6,6,6,6,7,6,6,6,6,2,2,2,2,4,4,4,4,0,0,0,0,8,8,3,0,0,0,0,0,0,0,4,4,0,1,2,0,0,1,1,1,8,7,2,1,0,1,4,2,1,2,3,3,3,0,4,0,0,0,1,7,3,6
"sujeto_1d9a94b2",6,6,3,4,5,7,7,5,4,2,2,2,3,5,1,2,3,5,0,0,0,0,6,7,5,4,2,2,2,2,3,3,4,5,2,0,2,2,2,2,3,2,4,5,4,4,0,0,0,0,4,3,4,2,4,0,4,0,0,1,0,3,5,5
"sujeto_c9ac0c57",1,5,4,4,4,4,3,3,3,3,1,1,1,1,2,2,2,2,1,1,1,1,5,6,4,3,0,0,0,0,0,0,5,6,0,0,4,5,0,0,0,0,3,4,1,4,0,0,4,0,0,0,2,3,2,0,3,0,0,3,0,0,0,4
"sujeto_1bb5ad4b",2,4,4,4,4,4,2,2,1,1,0,0,0,0,1,1,2,3,0,0,0,0,3,5,2,3,0,0,0,0,2,0,4,3,0,0,2,1,0,0,0,0,2,3,1,2,0,0,0,0,0,1,3,1,4,0,6,0,0,2,0,0,2,5
"sujeto_63c82dc6",6,5,6,3,3,8,6,4,4,2,2,2,2,3,3,3,3,7,0,0,0,0,5,7,1,3,0,1,0,0,0,0,3,2,0,0,3,2,0,0,1,1,7,6,2,5,0,0,7,6,0,0,6,5,5,0,7,0,1,6,0,6,3,4
"sujeto_c730bc55",7,7,3,4,4,6,2,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,5,5,1,1,0,0,3,2,0,0,4,2,0,0,2,1,0,0,0,0,3,3,1,2,0,0,2,1,0,0,2,1,4,1,3,0,0,1,1,2,3,5
"sujeto_cfeb32c5",3,3,7,7,7,6,4,4,4,3,0,0,0,0,5,5,5,6,0,0,0,0,6,8,3,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,6,6
"sujeto_587bbcbb",2,5,0,0,0,0,3,2,1,0,0,0,0,0,1,1,2,3,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,0,1,0,5,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5
"sujeto_52c54ab9",6,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,2,2,0,0,2,0,0,0,0,0,3,6
"sujeto_0d6a2bd1",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"sujeto_3e78614c",4,4,5,5,5,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,6,7,2,2,0,0,0,0,0,0,6,5,0,0,2,1,0,0,0,0,7,7,0,0,0,0,6,6,0,0,0,0,7,0,5,0,0,0,0,6,2,6
"sujeto_06da9741",5,4,3,5,5,7,4,4,5,7,6,5,5,4,2,5,5,6,0,0,0,2,3,3,1,1,0,0,0,0,2,0,6,2,0,0,4,3,0,0,3,2,3,6,1,0,0,0,5,2,0,0,2,3,3,0,5,0,0,7,1,1,4,7
"sujeto_7b0e6648",3,6,4,4,4,4,7,6,4,4,2,2,2,2,0,0,0,0,0,0,0,0,6,7,4,4,3,3,4,3,1,2,3,2,0,0,0,0,0,0,0,0,7,8,2,4,0,0,7,3,3,1,1,1,2,0,5,0,0,2,0,1,1,7
"sujeto_2a9aaa08",3,4,5,5,5,4,6,6,5,5,3,3,3,3,4,4,4,4,3,3,3,2,4,5,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,6,4,1,0,0,1,0,0,0,1,0,3,0,5,0,1,2,0,1,3,7
"sujeto_7e1d6f1a",3,6,2,2,0,0,4,4,1,1,0,1,6,7,2,2,6,7,0,0,0,0,5,5,1,3,0,3,6,2,0,0,7,1,0,0,5,3,0,2,6,2,8,8,0,8,0,0,7,0,2,1,7,3,2,0,7,0,2,6,0,0,3,6
"sujeto_acaff5ce",1,7,7,7,4,2,8,7,4,1,1,1,4,7,1,1,3,7,1,2,4,7,7,7,0,6,0,2,6,0,0,0,6,1,0,0,5,3,0,2,6,1,8,7,0,7,0,2,8,4,4,5,8,4,2,2,6,3,3,7,7,2,0,8
"sujeto_c28223ba",3,6,2,3,4,5,5,5,4,3,0,0,0,3,1,1,3,6,0,0,0,0,6,5,1,1,0,3,4,0,0,0,5,2,0,0,4,2,0,0,2,0,6,6,0,2,0,0,6,3,1,1,4,2,3,0,4,0,0,2,0,0,3,6
"sujeto_725769f0",1,5,5,4,4,1,7,6,7,4,2,2,3,6,2,2,2,6,2,3,4,7,6,6,0,3,2,4,7,4,0,0,6,6,0,0,6,4,0,0,5,3,7,6,2,2,0,0,6,4,1,1,5,3,0,0,8,0,6,8,3,0,2,6
"sujeto_685cae59",4,7,4,4,6,6,7,7,2,2,5,6,7,8,5,6,7,8,0,0,0,0,6,8,2,8,0,0,8,0,0,0,6,0,0,0,2,0,0,0,5,0,0,4,0,8,0,0,8,0,0,4,6,0,6,0,8,0,0,8,0,0,4,6
"sujeto_2608c5d2",1,5,1,1,1,2,1,1,1,2,5,5,5,6,0,0,0,0,0,0,0,0,6,7,0,3,0,5,0,0,2,0,7,0,0,0,0,0,0,0,5,0,4,7,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,2,5
"sujeto_68df437b",4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,3,0,0,0,3,1,2,0,1,0,0,0,0,0,1,5,0,4,0,0,2,1,0,0,3,1,6,0,2,0,0,0,0,0,3,6
"sujeto_dccc88fd",5,5,6,6,4,3,6,5,4,3,1,2,3,5,1,1,4,5,0,0,0,1,4,6,2,3,1,1,3,2,1,0,3,2,0,0,2,1,0,0,2,1,2,4,0,1,0,0,2,1,0,0,2,1,0,0,4,0,0,1,0,0,4,6
"sujeto_7ab61c9e",5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,5
"sujeto_665d6eab",3,2,2,2,2,2,5,5,4,4,5,4,4,5,1,1,3,4,0,0,3,3,3,4,0,0,0,0,3,2,0,0,3,2,0,0,2,2,0,0,2,1,4,4,3,5,1,0,3,2,0,2,3,2,2,1,4,2,4,4,4,2,1,4
"sujeto_c36569e9",2,5,1,1,2,3,6,6,0,0,0,1,5,6,1,2,6,7,0,0,1,1,4,5,0,4,0,1,2,0,0,0,5,1,1,0,6,1,0,1,5,1,2,6,0,8,0,0,6,1,1,0,6,2,2,1,8,1,1,5,4,0,1,4
"sujeto_5061298e",3,5,5,4,4,5,4,3,3,3,0,0,0,1,4,3,2,4,0,0,0,0,3,4,2,3,1,2,3,2,3,1,4,3,1,0,1,0,0,0,0,0,3,5,0,4,0,0,2,2,2,2,3,2,0,0,1,0,0,1,0,0,2,5
"sujeto_4e042fb0",3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5
"sujeto_225a39e1",4,4,0,0,6,7,8,8,5,3,0,0,0,0,0,0,4,5,0,0,0,0,7,4,2,0,0,0,0,0,0,0,4,2,0,0,3,0,0,0,4,0,0,2,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,2,0,1,4,4
"sujeto_66362819",4,6,8,8,8,8,7,7,7,7,8,8,8,8,8,8,8,8,2,2,2,2,6,8,5,1,2,3,5,4,4,2,6,4,3,6,6,6,4,3,4,5,8,4,3,6,4,2,6,4,7,7,8,4,7,0,8,0,0,5,0,4,3,7
"sujeto_5fc6b519",2,6,5,5,5,5,6,6,6,5,1,1,1,1,2,2,2,2,0,0,0,0,6,7,5,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,3,4,0,0,1,0,0,0,0,0,6,0,2,0,0,1,1,2,1,8
"sujeto_8932899d",4,4,7,7,7,7,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,7,8,5,7,0,1,4,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,2,4,0,0,4,0,0,0,3,0,2,0,4,0,0,3,0,2,4,4
"sujeto_d60b64ec",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4
"sujeto_5f5cb1ee",2,2,3,2,3,4,2,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,0,3,2,0,0,2,1,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,3,0,1,2,2
"sujeto_32e036e7",5,6,0,1,2,3,8,8,8,8,0,0,0,0,5,5,5,5,0,0,0,0,8,8,8,8,0,0,0,0,4,4,4,4,0,0,0,0,4,4,4,4,8,8,8,8,0,0,0,0,0,0,0,0,4,6,2,2,2,8,8,1,4,6
"sujeto_c7735ca1",3,6,4,4,4,4,4,4,3,3,0,0,2,2,2,2,3,3,0,0,0,0,8,4,2,3,0,2,2,2,0,4,4,4,0,0,3,3,0,2,4,2,8,5,1,3,0,0,3,1,0,0,2,0,3,0,5,0,0,7,0,0,2,5
"sujeto_74a044c9",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"sujeto_9d7bb9e1",4,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,4,4
"sujeto_d04e11ed",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"sujeto_649d6cd3",5,7,1,1,1,3,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,8,8,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,4,7
