"codigo","Espectativa_propia","Espectativa_otros","Felicidad_1estrella","Felicidad_2estrellas ","Felicidad_3estrellas ","Felicidad_4estrellas ","Alivio_1estrella","Alivio_2estrellas","Alivio_3estrellas","Alivio_4estrellas","Vergüenza_1estrella","Vergüenza_2estrellas","Vergüenza_3estrellas","Vergüenza_4estrellas","Nerviosismo_1estrella","Nerviosismo_2estrellas","Nerviosismo_3estrellas","Nerviosismo_4estrellas","Tristeza_1estrella","Tristeza_2estrellas","Tristeza_3estrellas","Tristeza_4estrellas","Felicidad_bb","Felicidad_bm","Felicidad_mb","Felicidad_mm","Culpa_bb","Culpa_bm","Culpa_mb","Culpa_mm","Decepcion_bb","Decepcion_bm","Decepcion_mb","Decepcion_mm","Enojo_bb","Enojo_bm","Enojo_mb","Enojo_mm","Tristeza_bb","Tristeza_bm","Tristeza_mb","Tristeza_mm","Alivio_bb","Alivio_bm","Alivio_mb","Alivio_mm","Vergüenza_bb","Vergüenza_bm","Vergüenza_mb","Vergüenza_mm","Nerviosismo_bb","Nerviosismo_bm","Nerviosismo_mb","Nerviosismo_mm","Feliz","Enojada","Nerviosa","Triste","Culpable","Avergonzada","Decepcionada","Aliviada","Rendimiento_pos_propio","Rendimiento_pos_otros"
"sujeto_0049193",4,6,1,1,2,0,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5
"sujeto_0073942",5,7,6,6,4,2,8,6,4,3,0,2,3,4,1,3,3,5,0,0,2,4,5,7,2,1,0,1,3,2,0,0,3,1,0,0,4,2,0,0,3,3,5,3,1,1,0,1,3,1,0,0,3,1,6,0,2,0,0,1,0,2,3,6
"sujeto_0073050",4,6,5,5,6,7,7,6,6,5,1,1,3,3,3,3,5,5,3,3,1,1,6,7,2,3,0,0,5,2,2,0,6,5,0,0,2,1,0,0,1,1,7,7,1,4,0,0,5,2,2,1,4,3,0,0,3,0,3,3,0,0,4,8
"sujeto_0048533",4,5,5,5,5,5,8,8,7,7,0,0,1,1,6,6,6,6,0,0,0,0,0,8,0,5,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,1,8,0,5,5,0,6,1,0,0,2,2,4,0,0,0,0,0,0,4,3,6
"sujeto_0006562",3,5,3,4,4,6,1,2,3,3,1,2,2,4,1,1,3,4,1,1,3,3,2,3,2,4,2,3,3,3,0,0,3,1,0,0,3,3,0,0,2,1,1,2,1,2,0,0,3,2,0,0,2,2,2,4,3,0,0,2,2,0,1,4
"sujeto_0bf947ec",4,4,0,0,0,0,0,0,0,0,0,0,3,5,4,4,4,4,0,0,0,0,2,3,1,2,0,0,4,2,0,0,4,3,0,0,6,6,0,0,0,0,4,4,0,0,0,0,3,2,0,0,5,0,4,0,2,0,0,0,0,0,2,5
"sujeto_85db03a2",5,5,4,4,4,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,5,4,4
"sujeto_005868",3,4,7,5,4,7,6,5,3,2,1,2,2,1,1,7,6,3,0,0,0,0,5,8,2,7,0,1,6,3,3,0,6,2,2,0,3,1,0,0,2,1,7,6,0,5,0,0,3,1,2,0,4,2,3,0,4,0,0,1,1,3,3,5
"sujeto_a90bad1a",3,6,5,4,4,2,7,5,3,1,0,2,4,6,0,2,3,5,0,0,0,1,6,3,2,0,0,3,3,4,0,1,4,3,0,0,1,0,0,1,0,0,6,4,0,3,0,2,3,1,0,2,4,1,3,0,4,0,2,1,0,3,3,6
"sujeto_2c6c72ad",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"sujeto_dabe6acb",5,6,5,5,5,5,7,7,3,2,5,5,5,5,6,6,6,6,0,0,0,0,5,6,3,4,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,3,4,2,2,0,0,4,3,0,0,1,1,3,0,1,0,0,2,0,0,3,4
"sujeto_b3dd3930",4,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2
