codigo,contrast,mean_38_14_24
SUJETO_0050473,con_0003,0.271793818230006
SUJETO_0051018,con_0003,-0.0402249231767969
SUJETO_0053568,con_0003,-0.614146731339577
SUJETO_0058378,con_0003,0.738914333314188
SUJETO_005868,con_0003,0.470117981023178
SUJETO_0065422,con_0003,-0.148027717902484
SUJETO_0066360,con_0003,0.447585503430659
SUJETO_0068071,con_0003,-0.206411701394245
SUJETO_0068784,con_0003,-0.0422405631440442
SUJETO_0071765,con_0003,-0.668702854555312
SUJETO_0073050,con_0003,-0.898761069629251
SUJETO_0073105,con_0003,0.182896877454908
SUJETO_0073942,con_0003,0.321491513929398
SUJETO_0074431,con_0003,-0.875659209199068
SUJETO_0BF947EC,con_0003,-0.784081969561616
SUJETO_2C6C72AD,con_0003,-0.653446567494695
SUJETO_85DB03A2,con_0003,0.420568756463869
SUJETO_A90BAD1A,con_0003,0.928121233858713
SUJETO_DABE6ACB,con_0003,-0.248077782484271
SUJETO_0000621,con_0004,-0.455240196911609
SUJETO_0005719,con_0004,-0.332033203006154
SUJETO_0006562,con_0004,-0.242697578835456
SUJETO_0012643,con_0004,-0.22941411513555
SUJETO_0014011,con_0004,-1.87531944600547
SUJETO_0014895,con_0004,-0.628638173683797
SUJETO_0016883,con_0004,0.31301088505841
SUJETO_0020285,con_0004,-0.772585480678372
SUJETO_0020703,con_0004,-1.4135007930965
SUJETO_0020974,con_0004,-0.587077275160852
SUJETO_0025948,con_0004,0.261558447862271
SUJETO_0026622,con_0004,-0.271611194646864
SUJETO_0027033,con_0004,-0.999736496103488
SUJETO_0027510,con_0004,-0.672531500882734
SUJETO_0028207,con_0004,-0.498204955709076
SUJETO_0030383,con_0004,-0.351561354776102
SUJETO_0030459,con_0004,0.454201267575997
SUJETO_0031826,con_0004,-0.145651118484386
SUJETO_0032413,con_0004,0.237943468038068
SUJETO_0033050,con_0004,0.185019783020716
SUJETO_0034539,con_0004,0.381737467308521
SUJETO_0036567,con_0004,0.684557544264367
SUJETO_0040017,con_0004,-0.226781403155604
SUJETO_0040081,con_0004,-0.764869164039449
SUJETO_0048205,con_0004,0.545529153410012
SUJETO_0048533,con_0004,0.175333048658052
SUJETO_0050473,con_0004,0.346676673283715
SUJETO_0051018,con_0004,0.234919537606032
SUJETO_0053568,con_0004,-0.868985065357472
SUJETO_0058378,con_0004,0.0852725902170973
SUJETO_005868,con_0004,-0.815762186014071
SUJETO_0065422,con_0004,-0.062385707382374
SUJETO_0066360,con_0004,0.682225593585309
SUJETO_0068071,con_0004,-0.351889761513084
SUJETO_0068784,con_0004,-0.794723846442331
SUJETO_0071765,con_0004,-0.656052660651323
SUJETO_0073050,con_0004,-0.503709121970687
SUJETO_0073105,con_0004,0.137172551707334
SUJETO_0073942,con_0004,-0.679291350085561
SUJETO_0074431,con_0004,-0.893846930769401
SUJETO_0BF947EC,con_0004,-0.417729147626617
SUJETO_2C6C72AD,con_0004,-0.393700000288616
SUJETO_85DB03A2,con_0004,1.2160753602904
